owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
KENMORE REALTY LLC,36,4976400.0,P.O. BOX 307144,PO BOX 307144,llc,True,True,True,False,institutional,True,"['5386 CALEB DR', '5388 CALEB DR', '5390 CALEB DR', '5392 CALEB DR', '5394 CALEB DR']",1.0,86,tier_1,"LLC entity (high investor probability); Institutional investor (36 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
DUXBERRY LANDING HOMES LLC,35,3233400.0,3443 AGLER RD,370 S 5TH ST SUITE 2,llc,True,True,False,False,institutional,True,"['1148 TWENTY FIRST AV', '1113 TWENTY FIRST AV', '1129 TWENTY FIRST AV', '1133 TWENTY FIRST AV', '1149 TWENTY FIRST AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (35 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
LEGACY HOME INVESTMENTS LLC,35,6259200.0,1600 SOUTH 6TH ST,901 CORPORATE CENTER DR,llc,True,True,False,False,institutional,True,"['171 177 1/2 S SEVENTEENTH ST', '49 51 W DUNCAN ST', '1272 KENT ST', '297 299 REINHARD AV', '199 E WELCH AV']",0.9714285714285714,80,tier_1,"LLC entity (high investor probability); Institutional investor (35 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
KJB HOMES LLC,35,3824800.0,PO BOX 1857,PO BOX 1857,llc,True,True,True,False,institutional,True,"['1418 BRIARWOOD AV', '27 N SCHULTZ AV', '1373 MELROSE AV', '92 SCHULTZ AV', '1578 MYRTLE AV']",0.5714285714285714,81,tier_1,"LLC entity (high investor probability); Institutional investor (35 properties); 50%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
DEQSAN REALTY LLC,35,1461200.0,5709 GREAT HALL COURT,5709 GREAT HALL CT,llc,True,True,False,False,institutional,True,"['0 DELBERT RD', '0 DELBERT RD', '0 DELBERT RD', '0 DELBERT RD', '1480 WENTWORTH RD']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (35 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
CITY VIEW HOMES LLC,34,2479600.0,3443 AGLER RD,370 S 5TH ST SUITE 2,llc,True,True,False,False,institutional,True,"['62 WEST PARK AV', '308 S PRINCETON AV', '269 S SKIDMORE ST', '152 N STEVENS AV', '288 S DAKOTA AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (34 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
R & S REALTY INVESTMENT LLC,34,7941100.0,4608 INDIANOLA AVE   SUITE B,PO BOX 82560,llc,True,True,False,False,institutional,True,"['95 97 E MAYNARD AV', '29 OLENTANGY ST', '2662 2664 FINDLEY AV', '438 E TOMPKINS ST', '465 E HUDSON ST']",0.8529411764705882,80,tier_1,"LLC entity (high investor probability); Institutional investor (34 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
LEVELGREEN HOMES LLC,33,2624600.0,3443 AGLER RD,370 S 5TH ST SUITE 2,llc,True,True,False,False,institutional,True,"['2054 LEVELGREEN DR', '2048 LEVELGREEN DR', '2042 LEVELGREEN DR', '2036 LEVELGREEN DR', '2030 LEVELGREEN DR']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (33 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
TH PROPERTY OWNER I LLC,33,6286700.0,PO BOX 130,PO BOX 130,llc,True,True,True,False,institutional,True,"['528 BULEN AV', '468 N OHIO AV', '3165 HILLGATE RD', '3930 FULTON ST', '1819 PENFIELD RD']",0.8484848484848485,86,tier_1,"LLC entity (high investor probability); Institutional investor (33 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ASWL PROPERTIES LLC,32,3586100.0,2163 SOUTH PARK AVENUE,PO BOX 9202,llc,True,True,False,False,institutional,True,"['320 CLARENDON AV', '868 MANSFIELD AV', '385 - 393 CLARENDON AV', '352 S YALE AV', '380 WHITETHORNE AV']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (32 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
